,SeniorCitizen,Partner,Dependents,tenure,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges
4933,0,0,1,4,1,0,0,1,2,57.2
6489,0,0,0,1,0,0,0,1,2,18.85
3369,1,0,0,11,1,0,0,1,2,55.6
4705,0,0,0,6,1,0,0,1,2,78.95
3332,0,0,0,1,0,0,0,0,2,46.3
6062,1,0,0,53,0,0,0,1,0,73.8
3698,0,0,0,59,0,0,0,1,2,83.25
5891,0,0,0,11,0,0,1,1,2,41.6
6075,0,0,0,10,0,1,1,0,2,64.9
2682,0,0,0,4,0,0,0,0,2,50.4
6410,1,0,0,63,1,1,1,0,1,83.0
1919,0,0,0,1,0,0,0,0,2,50.9
4093,0,0,0,29,0,0,0,1,0,76.0
3641,0,0,0,49,0,1,2,1,1,74.45
1869,0,1,1,72,0,0,2,0,0,24.1
3539,0,0,0,8,0,0,0,1,2,45.15
4918,0,1,1,51,0,0,2,0,0,19.55
2158,0,1,1,57,1,1,2,1,2,84.5
1719,0,0,0,3,0,1,0,1,2,107.95
4668,0,0,1,2,1,0,0,1,0,61.2
4637,1,1,0,71,1,1,1,1,1,71.0
6237,0,0,0,1,0,0,0,0,2,69.95
2752,0,1,1,31,1,1,0,0,1,35.4
5382,0,1,1,56,1,1,1,1,2,52.0
6033,1,0,0,25,0,0,0,1,2,88.95
2309,0,0,0,57,0,1,2,1,0,90.45
1868,0,0,0,1,0,0,0,1,1,44.05
522,0,1,1,55,0,0,0,0,1,85.5
4713,0,1,1,58,0,1,1,1,1,105.05
6133,0,0,0,2,0,0,0,1,0,24.9
6421,0,0,0,21,1,1,2,0,0,71.05
4983,1,1,0,40,0,0,0,1,2,39.3
4452,0,1,0,70,1,1,2,0,0,86.45
2817,0,1,0,41,0,0,2,0,0,20.65
1580,1,1,0,21,0,0,1,0,1,71.7
4820,0,1,0,58,1,1,2,1,2,84.3
1537,0,1,1,72,0,1,2,1,2,78.95
1184,0,1,1,18,1,0,0,1,2,87.9
6474,0,0,0,6,0,0,2,0,2,19.55
2123,0,0,0,31,0,0,0,1,2,80.45
1951,0,1,0,14,0,0,0,0,0,50.2
3646,0,0,0,39,0,1,1,0,2,81.9
4461,0,0,0,29,0,1,0,1,2,94.2
2422,1,0,0,1,0,0,0,1,2,70.05
3813,0,1,1,69,0,0,2,1,2,105.0
1849,0,0,0,10,0,0,0,1,2,45.55
2005,0,1,1,49,0,0,1,0,2,100.45
3299,0,0,0,68,1,1,1,1,0,117.2
6000,0,0,1,52,0,0,1,0,0,19.65
2458,1,1,0,50,1,0,2,1,0,105.05
76,0,0,0,46,0,0,1,0,0,55.65
4941,0,0,0,3,0,0,0,1,2,19.8
1165,0,0,0,25,0,0,1,0,0,19.9
3673,0,0,0,42,0,0,0,1,2,101.75
2845,0,0,0,11,0,1,0,1,2,94.2
3504,0,1,1,68,0,0,2,0,1,19.95
4232,0,0,0,1,0,0,0,1,2,69.95
542,0,0,0,1,0,0,0,0,2,19.55
4708,0,1,1,56,1,0,2,1,0,61.3
782,0,1,1,27,1,0,0,1,0,54.75
2771,0,1,1,13,1,0,0,1,2,63.15
1569,0,1,1,15,0,0,0,0,2,46.3
2596,0,1,1,21,0,0,1,1,0,58.85
1462,0,1,0,36,0,0,1,0,2,20.0
961,0,0,0,17,0,0,1,1,2,20.5
6212,0,0,0,15,0,0,1,0,2,50.75
5996,0,0,0,62,0,0,2,0,1,19.85
4504,0,0,0,37,0,0,1,0,0,20.15
3,0,0,0,45,1,1,1,0,1,42.3
4472,0,1,1,68,1,0,2,0,0,80.35
5226,0,1,1,12,0,0,0,1,2,21.15
4793,0,1,0,49,0,1,1,1,0,99.25
5022,0,1,1,71,1,1,2,0,0,109.3
3559,0,0,0,27,0,0,2,0,0,19.85
544,0,0,0,13,1,1,0,1,0,45.55
4425,0,1,1,14,1,0,0,0,2,69.2
1618,1,0,0,23,0,0,0,1,2,94.75
3547,1,1,0,70,1,1,2,0,0,90.05
977,0,0,0,11,0,0,0,0,2,75.25
4401,1,1,1,46,1,1,0,1,2,110.2
5228,0,0,0,9,0,0,0,1,2,44.4
5453,0,1,0,60,1,1,2,1,2,61.35
6210,0,0,1,25,0,1,1,1,0,54.75
4003,0,0,0,38,0,0,2,0,2,20.3
4223,0,0,0,3,0,0,0,1,2,70.3
3516,0,0,0,3,0,0,0,1,2,43.3
3437,0,0,0,41,0,0,1,1,0,56.3
5468,0,0,0,7,0,0,0,1,2,79.7
5595,0,0,0,2,0,0,0,0,2,19.4
2758,0,0,0,5,0,0,0,0,2,20.25
6777,0,1,0,3,0,1,0,1,2,29.9
6772,0,0,0,38,0,1,1,1,2,62.3
408,0,0,0,1,0,0,0,1,2,19.9
5641,0,0,1,39,0,0,1,0,1,25.45
1424,0,0,1,48,0,0,1,0,2,19.95
1766,0,1,1,27,0,0,1,1,2,20.55
2119,0,1,1,46,0,0,1,1,1,20.2
902,0,0,0,17,1,0,0,0,2,93.85
6127,0,1,0,56,1,0,1,0,1,109.8
5424,1,1,0,65,1,0,2,1,0,92.7
5740,0,1,1,69,1,1,2,0,2,39.1
5774,0,0,0,5,0,1,0,1,1,65.6
3736,0,0,0,8,0,0,1,1,1,20.2
6762,0,0,0,35,0,0,0,0,2,55.0
2333,0,1,1,57,1,1,0,0,1,65.2
2459,0,0,0,8,0,0,0,1,0,20.45
5456,0,0,0,13,0,0,0,1,2,31.05
1970,0,1,0,7,0,0,0,1,2,81.1
1373,0,0,1,1,0,0,0,0,2,19.85
589,0,1,1,71,1,1,2,0,2,90.4
517,1,1,0,5,0,0,0,0,2,70.05
676,0,0,0,48,0,0,1,0,1,24.55
2578,1,1,1,31,0,1,0,1,2,98.9
10,0,1,1,13,1,0,0,1,2,49.95
341,0,1,0,71,1,1,2,0,0,85.75
5413,0,0,0,15,0,0,0,1,0,94.0
5867,1,1,0,44,0,0,2,1,0,19.35
6254,0,1,0,60,1,1,2,1,2,97.2
4582,0,1,1,70,1,1,2,1,0,90.15
2429,1,1,0,59,1,0,1,1,0,82.95
1116,0,0,0,38,0,0,1,1,2,24.25
6376,0,0,0,66,0,0,2,0,1,19.35
1453,0,0,0,31,0,0,0,1,2,94.5
2041,0,0,0,7,0,0,2,0,2,19.45
4216,0,0,0,72,1,1,2,0,1,92.0
3040,0,1,0,71,0,1,2,1,0,108.6
3088,0,1,1,46,1,1,2,0,2,81.0
2619,1,0,0,33,0,1,0,1,2,110.45
2234,0,1,1,23,0,1,2,0,2,59.7
806,0,0,0,18,0,1,0,0,0,55.2
6534,1,0,0,53,1,1,1,1,2,96.75
3280,0,1,0,55,1,0,2,0,2,58.6
200,0,1,0,27,1,1,1,1,0,101.9
5407,0,1,1,63,1,1,2,0,2,63.55
652,0,1,1,35,0,0,2,0,2,20.1
3816,1,1,1,50,1,0,2,1,1,75.15
1805,0,1,1,72,1,0,2,0,0,64.45
1340,0,1,1,0,1,1,2,0,0,56.05
1935,0,0,0,51,0,0,1,1,1,19.85
3071,0,1,1,47,1,1,2,1,2,90.5
2201,0,0,0,36,1,1,1,0,1,85.85
6906,0,1,1,25,0,0,2,1,2,18.7
464,1,1,0,72,1,1,2,1,1,116.05
5904,0,0,0,70,0,0,1,0,2,98.9
6791,0,0,0,19,0,0,0,1,2,39.65
5965,0,1,1,36,1,0,1,1,0,63.7
761,0,0,0,22,0,0,0,0,2,89.25
5498,1,1,0,1,0,0,0,0,2,46.0
5547,0,0,0,3,0,0,0,1,2,89.45
1720,1,0,0,2,0,0,0,1,1,83.8
4186,0,0,1,62,0,1,2,1,2,104.05
444,0,1,0,36,0,0,0,0,2,80.4
2728,0,0,0,25,1,0,1,0,2,61.05
4610,0,1,0,72,1,1,1,1,1,117.8
1406,0,0,1,66,0,0,2,1,0,25.3
399,0,1,1,23,0,0,1,0,2,20.05
5959,0,1,1,33,0,0,2,0,0,19.8
2271,1,0,0,40,0,0,0,1,2,91.55
5700,1,1,0,29,0,1,0,1,2,79.3
748,0,1,0,48,0,0,2,0,2,19.25
198,0,1,1,72,0,1,2,1,1,112.25
3727,0,0,0,3,0,0,0,1,2,96.6
6248,0,1,0,60,0,1,2,0,0,60.8
4532,0,0,0,15,0,0,0,1,2,79.75
729,0,0,0,65,0,1,2,1,0,74.2
1832,1,1,0,57,0,0,0,1,2,44.85
5660,0,0,1,44,0,0,1,1,2,77.55
245,1,0,0,4,1,0,0,0,2,75.35
4992,0,1,0,51,0,0,0,1,0,30.05
3080,0,0,0,2,0,0,0,0,2,24.3
1825,0,0,0,32,0,0,0,1,2,54.2
1583,0,1,1,6,0,0,0,1,0,48.95
2256,0,0,1,15,1,1,1,0,0,65.6
4468,0,0,0,15,0,0,0,1,0,25.4
4015,0,0,0,36,1,0,1,0,2,54.45
3812,0,0,0,17,0,0,1,1,1,19.65
5482,0,1,1,33,0,1,1,1,2,73.9
6673,1,0,0,2,0,0,0,0,2,43.95
1859,0,0,0,52,0,0,0,1,2,85.35
4726,0,1,0,72,1,0,2,1,2,49.2
2814,0,1,1,62,1,1,2,0,1,48.7
2700,0,0,0,35,0,0,0,0,2,24.15
1660,0,1,0,47,0,0,0,0,2,25.4
5234,0,1,0,40,1,0,1,0,1,105.75
2165,0,0,0,13,0,0,1,0,2,20.2
2071,0,1,1,67,0,1,2,0,0,94.1
5425,0,0,0,30,0,0,0,0,2,100.45
602,0,1,1,66,0,0,1,1,1,74.25
4795,0,1,0,53,0,0,1,0,1,20.8
2615,0,0,0,72,1,1,2,1,1,91.35
3343,0,0,0,16,0,0,1,0,1,20.1
2132,0,1,1,23,0,0,1,0,2,19.65
4737,0,1,0,72,1,1,2,1,1,115.5
7010,1,1,0,1,0,0,0,1,2,74.45
1193,0,0,0,47,0,1,2,0,2,74.45
3474,1,1,1,65,1,0,0,1,2,85.75
1666,0,0,0,8,0,0,2,0,2,20.25
2053,0,1,0,47,0,0,0,1,1,83.35
4348,0,0,0,1,0,0,0,1,2,19.1
531,0,1,1,70,0,0,2,0,0,20.05
6187,0,1,1,8,0,0,2,0,2,20.15
3664,0,0,0,4,0,1,0,1,2,50.8
3614,0,1,0,69,1,1,2,0,1,60.25
3928,0,1,0,18,0,0,0,1,0,95.95
5110,0,0,0,8,0,0,0,1,2,73.5
4711,0,0,0,32,0,0,1,0,2,19.8
1394,0,1,1,62,0,1,1,1,2,110.8
5227,0,0,0,7,0,0,0,0,2,96.2
4522,0,1,0,30,0,0,1,0,0,20.7
4256,0,1,0,70,0,0,2,1,1,26.0
2483,1,1,1,46,1,0,0,1,2,100.7
6901,0,0,0,30,0,0,1,1,0,68.95
548,1,1,0,50,1,0,1,1,1,101.9
2341,0,1,0,68,1,1,2,0,1,114.9
1853,0,0,0,1,0,0,0,0,2,45.15
4947,0,0,0,26,0,0,0,1,2,98.35
5205,0,0,0,37,1,0,0,0,1,91.2
5674,0,1,1,64,0,1,2,0,2,49.85
986,0,0,0,12,0,0,0,0,1,43.8
5980,0,0,0,17,1,1,1,0,0,79.85
3868,0,1,1,21,0,0,0,1,1,74.05
144,1,1,0,71,0,0,2,0,1,23.95
596,0,0,0,16,1,1,2,0,2,54.85
3954,1,1,0,17,0,0,0,1,2,94.8
