,Churn
4933,0
6489,1
3369,0
4705,0
3332,1
6062,0
3698,0
5891,1
6075,0
2682,1
6410,0
1919,1
4093,0
3641,0
1869,0
3539,1
4918,0
2158,0
1719,0
4668,0
4637,0
6237,1
2752,1
5382,0
6033,1
2309,0
1868,0
522,0
4713,0
6133,0
6421,0
4983,1
4452,0
2817,0
1580,0
4820,0
1537,0
1184,0
6474,0
2123,0
1951,0
3646,0
4461,0
2422,0
3813,0
1849,1
2005,1
3299,0
6000,0
2458,0
76,0
4941,1
1165,0
3673,1
2845,0
3504,0
4232,1
542,0
4708,0
782,0
2771,0
1569,0
2596,0
1462,0
961,0
6212,0
5996,0
4504,0
3,0
4472,0
5226,0
4793,0
5022,0
3559,0
544,1
4425,0
1618,1
3547,0
977,0
4401,0
5228,0
5453,0
6210,0
4003,0
4223,0
3516,1
3437,0
5468,1
5595,0
2758,0
6777,0
6772,1
408,1
5641,0
1424,0
1766,0
2119,0
902,1
6127,0
5424,0
5740,0
5774,0
3736,0
6762,1
2333,0
2459,0
5456,1
1970,1
1373,0
589,0
517,0
676,0
2578,1
10,0
341,0
5413,0
5867,0
6254,0
4582,0
2429,0
1116,0
6376,0
1453,0
2041,0
4216,0
3040,1
3088,0
2619,1
2234,0
806,0
6534,0
3280,0
200,0
5407,0
652,0
3816,0
1805,0
1340,0
1935,0
3071,0
2201,0
6906,0
464,0
5904,0
6791,1
5965,0
761,1
5498,1
5547,1
1720,0
4186,0
444,0
2728,0
4610,1
1406,0
399,0
5959,0
2271,0
5700,0
748,0
198,0
3727,1
6248,0
4532,1
729,0
1832,1
5660,0
245,0
4992,0
3080,0
1825,0
1583,0
2256,0
4468,1
4015,0
3812,0
5482,1
6673,0
1859,1
4726,0
2814,0
2700,0
1660,0
5234,0
2165,0
2071,0
5425,0
602,0
4795,1
2615,0
3343,0
2132,0
4737,0
7010,1
1193,0
3474,0
1666,0
2053,1
4348,1
531,0
6187,0
3664,0
3614,0
3928,0
5110,0
4711,0
1394,0
5227,0
4522,0
4256,0
2483,1
6901,0
548,0
2341,0
1853,1
4947,1
5205,0
5674,0
986,0
5980,0
3868,1
144,0
596,0
3954,0
5968,1
2856,0
1292,0
936,0
916,0
3702,1
5317,1
454,0
2103,0
3385,1
139,1
2335,0
4965,1
1802,0
35,0
4070,0
6830,0
6365,1
6324,0
111,0
4815,1
3470,0
6625,1
3134,0
4796,0
2733,0
1452,0
6462,1
5936,0
3718,0
1632,1
3056,0
4577,0
6749,0
893,1
5235,0
1686,1
4441,0
1911,0
1328,0
172,0
3854,0
4991,1
5019,0
5853,0
647,0
5661,0
6842,0
2835,0
1164,0
5955,0
1758,0
4046,0
6742,0
549,0
1549,1
5687,0
5713,0
2402,0
15,0
5979,0
5134,1
338,0
4761,0
3487,0
1790,1
2478,0
6383,0
167,0
4825,0
6557,0
3282,0
1969,0
6253,0
4493,0
5778,0
3257,0
3007,1
420,0
6734,1
6891,0
4999,0
5177,1
700,0
3059,0
634,0
3561,1
4721,1
3271,1
2691,0
5931,1
3922,0
5773,0
337,0
3139,1
1673,1
538,0
6265,0
860,0
1757,0
2115,0
2572,0
3377,0
4589,0
4822,0
2823,0
861,0
1240,0
223,1
4451,0
3507,0
5900,1
5873,0
2094,0
1475,0
6576,0
1792,0
6518,1
4131,1
2197,0
2778,0
755,1
922,0
1224,1
5007,0
6726,1
5319,0
3994,1
6964,0
1806,0
3793,0
852,0
1574,0
2838,0
7020,0
1371,1
130,0
1412,1
4671,1
2581,0
2813,0
390,0
1888,0
4255,1
763,0
2959,0
4333,0
3422,0
1930,0
6682,0
6261,0
4937,0
4568,0
2655,1
5974,0
3178,1
3201,0
1345,0
2847,0
5538,1
6729,0
5435,0
4268,0
3871,1
5477,0
6601,0
2503,0
282,0
6500,0
5480,0
809,1
2367,1
4687,1
872,0
1435,0
138,0
4821,0
5097,0
5890,0
706,0
4042,0
5057,0
2162,0
4633,0
109,0
6239,0
6143,0
6051,0
4296,1
7001,1
5551,0
1661,0
3312,0
1415,0
6962,1
5589,1
4157,0
6556,0
4290,1
592,0
6812,0
5238,0
4777,0
5259,0
866,0
2218,0
5642,0
6558,1
4076,0
1906,0
3584,0
5517,0
1627,0
856,0
1038,0
1356,0
4235,0
219,0
4358,0
4306,0
6047,0
4728,0
3914,0
6513,0
1089,0
173,1
3284,0
1407,0
2180,0
5945,0
6698,0
480,0
1416,0
306,1
867,0
5149,0
4055,0
622,0
4434,0
5400,0
2146,0
803,0
1444,0
1570,0
1040,1
5680,1
5308,0
6175,0
992,0
6914,1
135,0
5438,1
3873,0
6407,0
2827,0
4125,0
4330,1
2714,0
4880,0
3292,0
5635,0
926,1
4161,0
4514,0
6586,0
6109,0
4876,1
3327,0
4318,0
2488,1
5681,0
3686,1
6820,0
6263,0
3977,0
5618,0
205,0
1003,0
5103,0
3615,1
7034,1
4026,0
789,0
3388,0
3971,1
2677,1
1503,0
4623,0
862,1
2100,0
870,0
3488,0
4855,0
6136,0
3990,0
292,0
871,0
2722,0
928,0
1699,0
6159,0
4176,0
3125,0
4075,0
1808,1
3190,0
1928,1
3012,0
5187,0
392,0
230,0
123,0
177,1
5668,0
3347,0
6870,0
3296,0
5862,0
6809,1
354,1
4969,0
4794,0
4428,1
3102,1
4592,0
4236,0
1913,0
1329,0
1837,1
2083,1
165,0
1889,0
5545,0
5185,0
1933,0
921,0
4195,0
6149,0
6236,0
2015,0
6681,1
6179,1
1589,0
2781,0
7040,0
6154,0
1599,0
4210,0
5262,0
5368,1
3621,1
3627,0
5578,0
5212,0
1335,1
1041,0
3887,1
3030,1
5183,1
6294,1
4133,0
2178,0
1710,0
1019,0
677,1
6412,0
286,0
5229,1
6874,0
6076,0
4487,0
5281,0
5707,0
3373,1
3574,0
5843,0
3042,1
4816,0
5245,0
24,0
1592,1
9,0
6304,1
6250,0
3194,1
2948,1
3894,0
6849,0
3023,0
5280,0
6295,0
4803,0
4104,0
1337,0
1831,0
3368,0
716,0
5296,0
3039,0
6257,1
4667,0
3262,1
2636,0
3776,0
547,0
1895,0
4956,1
3633,0
5263,0
2762,0
1770,1
485,0
2684,0
5672,0
906,0
1399,0
1613,0
3756,1
5673,0
1799,1
5150,0
268,1
5377,0
5436,0
1443,0
2664,0
1993,1
1620,0
2246,1
6160,0
2923,0
6024,1
6433,0
4137,0
540,0
3806,0
3717,0
27,1
1152,0
2436,0
5354,0
5629,1
4351,0
2583,0
2490,0
227,1
5105,1
1688,0
3049,1
3745,1
5652,0
1893,0
2006,1
5061,0
2238,0
5759,1
6714,0
6331,0
5915,0
6837,0
5224,0
4931,0
4554,0
3399,0
4239,0
5828,0
114,0
5665,0
3015,0
2153,0
3482,0
819,0
4907,0
5326,1
6738,0
160,0
247,1
6448,1
2412,1
6172,1
3339,0
6218,0
3526,1
6707,0
2142,0
3064,0
3579,0
2129,1
3223,0
1801,0
4729,0
1395,1
624,1
6186,1
6258,0
1676,0
6752,0
2222,0
5949,0
4201,0
3681,1
1985,1
3464,0
5166,0
1411,0
6424,1
4199,1
1568,0
1497,0
3036,0
4344,0
3953,1
2696,0
6767,0
3467,1
3410,1
1761,0
6246,0
5294,0
6216,0
3198,0
1678,0
5005,1
7033,0
781,0
3744,0
407,0
2353,0
2851,0
1104,0
4598,0
899,0
3210,0
1479,0
2954,1
2205,0
2267,0
979,0
4455,1
2213,0
914,0
3442,0
6104,0
6825,0
3509,0
4754,0
2268,0
823,0
5726,0
6935,0
1306,1
5367,0
6052,0
6364,0
6123,0
2466,0
2230,0
3446,0
4080,0
1594,0
3521,0
6999,1
216,0
104,1
4769,0
5111,1
3273,1
2984,0
5822,0
170,0
1102,1
3503,0
6032,1
971,0
6209,0
1141,0
3985,0
3249,0
4657,0
2107,0
1681,0
3658,0
1601,0
842,1
6096,0
5441,1
188,0
196,0
1714,0
3330,1
5823,0
6665,0
5089,0
2978,0
6429,0
254,0
2759,0
587,0
3448,1
6643,0
578,0
2761,1
3004,1
1643,0
2875,1
6472,0
1009,0
5645,0
4710,0
3283,0
3239,0
5020,0
2958,0
6801,0
3501,0
5791,0
71,0
6426,0
1085,1
1947,0
3019,1
3779,1
795,0
6138,0
2010,1
5704,0
5741,1
2633,0
3115,1
3372,0
1746,0
213,0
6132,0
6097,0
5327,0
1214,1
2484,0
4724,0
3918,1
1150,0
1909,0
2447,0
4707,0
5799,1
5557,0
5151,0
4095,0
4420,0
3942,1
442,0
6903,0
2794,0
762,1
4465,0
5295,0
6303,0
3782,0
2614,1
3463,0
3830,1
4540,0
6199,1
717,0
2741,1
17,0
3181,0
6954,0
4422,0
456,0
122,1
4399,0
2031,0
6821,1
1634,0
380,0
3540,0
2656,0
1958,0
3166,0
3046,0
304,0
4666,0
4675,1
693,1
5078,0
3028,1
4081,1
3530,0
4288,1
2718,0
5708,0
2444,1
3968,0
6853,1
4608,0
6356,0
487,0
1687,0
1380,0
6736,0
3814,0
5211,1
3380,1
3680,1
951,0
6241,1
1492,1
180,1
294,0
3730,1
2269,1
3955,0
5454,1
911,0
6936,1
2780,1
4220,0
5491,0
6621,0
5315,1
272,1
2721,1
1423,1
5015,0
6377,1
5831,1
6620,1
1600,1
1098,0
572,0
3349,1
3217,0
6644,0
1246,0
4406,0
1076,0
6553,0
1130,0
3649,0
3923,1
246,0
1230,0
6352,0
3084,0
386,1
5737,0
5338,0
3438,1
792,0
5745,0
3679,1
3998,0
2348,0
3477,0
6336,0
248,1
1449,0
4356,0
5076,1
5203,0
4700,0
4548,1
1316,0
3846,0
2522,0
3761,0
1245,0
6547,0
6471,0
6481,0
640,0
5037,1
6436,0
5305,0
1471,0
6761,0
6867,0
2182,0
5432,1
6970,1
4757,1
1001,1
2116,1
5885,0
1223,1
5279,0
6753,0
699,0
387,0
5825,1
4151,0
4140,1
4814,1
6789,1
1750,0
895,0
1002,0
3366,0
33,0
6501,0
4061,0
6201,0
1829,0
546,1
1064,0
5795,0
6056,0
2979,0
4613,1
4806,0
3011,0
363,0
5362,0
4448,1
4331,0
3430,0
2389,0
3688,0
6679,0
4229,0
